times,value
1,-0.0034485
2,-0.00030518
3,0.0033264
4,-0.0013428
5,-0.0031738
6,0.0012207
7,0.00177
8,-0.0025635
9,-0.0022888
10,0.0017395
11,0.00030518
12,-0.0021973
13,-0.0010986
14,0.0010681
15,0.00079346
16,-0.0022278
17,-0.0016479
18,0.0015259
19,0.00079346
20,-0.0032043
21,-0.0016785
22,0.0032349
23,0.0021667
24,-0.0032043
25,-0.0030823
26,0.0032654
27,0.0028992
28,-0.004425
29,-0.00048828
30,0.0046082
31,-0.00094604
32,-0.0038147
33,0.00045776
34,0.0041504
35,-0.0007019
36,-0.003479
37,0.0021667
38,0.0012512
39,-0.002533
40,-0.0005188
41,0.0019531
42,0.00094604
43,-0.0020142
44,0.00027466
45,0.0013733
46,-0.00094604
47,-0.0010986
48,0.00039673
49,0.00094604
50,-0.00033569
51,-0.00027466
52,0.00036621
53,-0.00018311
54,-0.00021362
55,0.0021667
56,-0.00091553
57,-0.0018005
58,0.002655
59,0.0018311
60,-0.0038147
61,-0.00061035
62,0.003479
63,-0.00057983
64,-0.0036926
65,0.00057983
66,0.0042725
67,-0.0021973
68,-0.0030212
69,0.0020752
70,0.0029602
71,-0.0021667
72,-0.0020142
73,0.0030518
74,0.00082397
75,-0.0037231
76,-0.0010681
77,0.003418
78,-0.00012207
79,-0.0027771
80,0.00057983
81,0.0019836
82,-0.00073242
83,-0.0022278
84,0.00085449
85,0.0022278
86,-0.00061035
87,-0.0020142
88,0.00018311
89,0.0027771
90,-0.00076294
91,-0.003479
92,0.0010681
93,0.0033875
94,0.00012207
95,-0.0038147
96,-0.0015564
97,0.004303
98,3.05e-05
99,-0.0050659
100,0.0018616
101,0.003418
102,-0.0023499
103,-0.0036621
104,0.0018005
105,0.0039673
106,-0.0028687
107,-0.0019836
108,0.0039673
109,0.00057983
110,-0.0032043
111,0.00027466
112,0.0030518
113,-0.00030518
114,-0.0020142
115,0.0020752
116,0.0018921
117,-0.00177
118,-0.00088501
119,0.0011902
120,0.0012512
121,-0.0010071
122,-0.00067139
123,0.0016479
124,-0.00024414
125,0.0005188
126,0.0011902
127,-0.0015869
128,0
129,0.0032349
130,-0.0014038
131,-0.0032043
132,0.0029907
133,0.0021057
134,-0.0025024
135,-0.0014343
136,0.0036621
137,0.0015869
138,-0.0039978
139,3.05e-05
140,0.00354
141,-6.1e-05
142,-0.0032349
143,0.0016174
144,0.0038147
145,-0.0027161
146,-0.0023499
147,0.0023804
148,0.0014038
149,-0.0021667
150,-0.0010071
151,0.0020142
152,3.05e-05
153,-0.001709
154,-0.00018311
155,0.0011902
156,0.00048828
157,-0.00091553
158,-0.00048828
159,0.001709
160,0.0012817
161,-0.0018005
162,-0.0012207
163,0.0022888
164,0.0029297
165,-0.0015869
166,-0.0036316
167,0.0025635
168,0.0032959
169,-0.0043335
170,-0.001709
171,0.0044556
172,0.0005188
173,-0.0048523
174,-0.0012207
175,0.0040588
176,-0.00082397
177,-0.0041809
178,0.00177
179,0.0029297
180,-0.0028687
181,-0.0022278
182,0.0024414
183,0.00076294
184,-0.0028381
185,-0.0005188
186,0.0020447
187,-0.00067139
188,-0.0017395
189,0.00054932
190,0.0015259
191,-0.0005188
192,-0.00079346
193,0.00033569
194,-0.00021362
195,-0.00054932
196,0.00097656
197,0.00061035
198,-0.0020447
199,0.00012207
200,0.0028992
